kill_mail_id,killer_character_id,victim_character_id,loss_type,solar_system_id,kill_timestamp,__key_bytes,__last_updated_block_number
3299,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027743190000000,\x0000000000000000000000000000000000000000000000000000000000000ce3,8586926
3295,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027718330000000,\x0000000000000000000000000000000000000000000000000000000000000cdf,8585694
3250,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027191320000000,\x0000000000000000000000000000000000000000000000000000000000000cb2,8559335
3247,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027137500000000,\x0000000000000000000000000000000000000000000000000000000000000caf,8556653
3246,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027128890000000,\x0000000000000000000000000000000000000000000000000000000000000cae,8556219
3243,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027100430000000,\x0000000000000000000000000000000000000000000000000000000000000cab,8554801
3242,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027095260000000,\x0000000000000000000000000000000000000000000000000000000000000caa,8554543
3241,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027094810000000,\x0000000000000000000000000000000000000000000000000000000000000ca9,8554508
3237,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027036820000000,\x0000000000000000000000000000000000000000000000000000000000000ca5,8551609
3236,49778800207164652469874949784182039126063313826734803064679144859371559924249,45221429927319294171888356253267381201241576760112992693833782792306286488646,0,30014710,134027027720000000,\x0000000000000000000000000000000000000000000000000000000000000ca4,8551162
