storage_id,system_id,__key_bytes,__last_updated_block_number
110795570193226698519039789404439884568019923225258017968850403717392074594296,0,\xf4f412084bde8353ac225e82ec5c23ab4bbc6e53e0a5785313af9ad19848d7f8,8244964
21957096662791676153598511132646650892588188371503061850548136703256830012084,52230217617993563505788334555659710469778689241264978225102299560096445759488,\x308b46bbedbc18fcd5fff79aab4b5106a025c34942f4533e05799750bd4deab4,7509979
89308209303520160060300405196498737318015877185239930543519686145523018560214,52230217617993563505788334555659710469778689241264978225102299560096445759488,\xc572a7b88e123af9b61752763a4c6b99c8d93583013420800671133d0edaf2d6,7509972
34437386641007325305328895657550274658817870571039430575141299168835049286708,52230217617993563505788334555659710469778689241264978225102299560096445759488,\x4c22debf6c9bc8ff1e79a45c48d5b52ddfc4d7315fd91635c94459cf2e6eec34,7509965
69445864215208864220301631692606391848492548518297654266816698240964260285649,52230217617993563505788334555659710469778689241264978225102299560096445759488,\x9988f75ade5a16c90a4f2f6b938802308fe902c72631c94965cc6093f95c4cd1,7341018
