assembly_id,network_node_id,__key_bytes,__last_updated_block_number
16905466054348280942896552011870816697932781413488152099811479606424273694081,89448739111853669764195722432858737245724723244906729958839413578723107649474,\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
100250025223726658738654931823487964951215097609770556669156456216720318157236,83225530904733195543473294144060252872675872817573834818749096593942394676368,\xdda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b4,8587884
47185083351408974992057482246376123995827845397238429773536951959478838903079,43889285950951547482519588404927208487367484671426819985714712561821967211462,\x6851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a0424127,8587884
68414870092408726995284918354210972589709809808521922219129213511111638660718,83225530904733195543473294144060252872675872817573834818749096593942394676368,\x974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16366e,8587880
55660722882636902424462447383120735077465830485187764161109952184612212017370,89448739111853669764195722432858737245724723244906729958839413578723107649474,\x7b0eda4cae0a952cf04942d760ec2381015b87d39be175b9891ea03c9fb188da,8587766
10981548571624416702418290040730738623060894598768277124775365857917803038078,89448739111853669764195722432858737245724723244906729958839413578723107649474,\x184756130f361e553baaf7afd034c08fb01f14b10a7943d51a5f82c2c726057e,8587620
8391351381265288404389099054627442271841534295031559268296276313132950916694,67159458086450214848779653101138866643361629171683083388244108888096142235420,\x128d56298f479465fdc1e580606c0a2b8fbda049baf7073605118b519a708e56,8587497
39758310027774495200432029096745632498467015806332448726252022779966009275883,115169322061584600141330025688940739586870344144303995175196392926593392706947,\x57e667f0f5a763b0fdd62814ff391e413087001e49fbf9dd96a9d962662a75eb,8587415
27338865143670258924848153955825826249813411112240138217661431760321318752566,85819617228467777628643527940095622629213000184743285049029480470882898694504,\x3c713fd36fe981d0695d15db8950bd670f9c18b7736fa739712d775eb9241136,8587372
100108721527812207494071819020575144288960801988787796707046721426401971734416,53238443257358904439020210084203369816817501493097936533220652459928803779017,\xdd53874848be424c444e73932ad38fbcd558094985e7ffdd8699abb240f50790,8587233
