owner_id,asset_id,manage,__key_bytes,__last_updated_block_number
51531274177281482301269642630307511794301193807709753512953158384594741080491,27769600261770285683133208608168879481458340044485232563354211905217717937078,1,\x71edaae74fb2e802b8e769059a979e75e900ae7b4e0582b50ee43ae95fb3b1ab3d650968ee4f0cc8e1959c4ddc3091fccae2dcf9de9ba52e1f3a12aabe4923b6,8462517
51531274177281482301269642630307511794301193807709753512953158384594741080491,37571759834920106846889320744938361056945792653830991616305109411992263547535,1,\x71edaae74fb2e802b8e769059a979e75e900ae7b4e0582b50ee43ae95fb3b1ab5310dccab7e69f3d1d80f8c391d1837123dd4b6aab4a2be1e821f6aa632d5a8f,8462468
61143172869813842871728628563720440157459198944894760487943277658305457796064,68756747558038175646772331584082278081915906834872327283892354881767895366103,1,\x872dcf38d00519429d8595c54a768a46a20f1176f46c8c4020c011d23d7bb3e09802f0a56f74c36ab9255bc0def60f4cebc678a4bc03ba7ff8c3150632fa79d7,8079948
11165788098012670980088527092814868111731654411553568648068914497340303532061,81966152578601305816245058538742203269651638309998484069992702065843446375891,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01db53732c4ed649631d2adbbd98ca8fe559cd05d60d5a0649f96086737f02e65d3,8073710
11165788098012670980088527092814868111731654411553568648068914497340303532061,47700314412808508035139783809103567206742363898364987069648652934375985767898,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01d69756bd418dda0042c47c6d2fe01619688cbd66efc8f2ea2fb591277d785e5da,8073700
11165788098012670980088527092814868111731654411553568648068914497340303532061,93483782244192828976170906856380953966759051320397368236238413319382880346602,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01dceadf218e5970a4ef7496ee20d4458044cfae6c39f3687c1c4e6b48205d5e1ea,7933971
11165788098012670980088527092814868111731654411553568648068914497340303532061,8710496998381396532783282328479609637164524866767812424789520295029248911440,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01d1341f7726b5e30b7132edb5e5851d9cb79abdc68f9dbb252cd1ba6d870fc6850,7933967
11165788098012670980088527092814868111731654411553568648068914497340303532061,83741588685391552034021386190189563271142314597917174033462137918525527527463,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01db9240f3e33b00ef7a73240531b63735ac0477e109efe5d9092fd947e911b9027,7931556
11165788098012670980088527092814868111731654411553568648068914497340303532061,5878072195967330742299100877610539095430716163047906330319373739029898234515,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01d0cfedef76f465d03457cbf3e40854042085f4eefbfb4ea760185ef4295a48a93,7931383
11165788098012670980088527092814868111731654411553568648068914497340303532061,73465619928761681344074876753105313352646148923736789132240542075109613881889,1,\x18af9cb2e77a4f113a8d8dd1aa5fcbae749ab3aaad233f3b798318af7864e01da26c113d09cc3667e40bf20e86c76d3da0a96d0513750d7b56b2241d5b5dca21,7931365
