namespace_id,delegation_control_id,__key_bytes,__last_updated_block_number
\x6e7365766566726f6e7469657200000000000000000000000000000000000000,\x737965766566726f6e7469657200000044656c65676174696f6e436f6e747200,\x6e7365766566726f6e7469657200000000000000000000000000000000000000,7288476
\x6e73657665657263323000000000000000000000000000000000000000000000,\x737965766566726f6e7469657200000044656c65676174696f6e436f6e747200,\x6e73657665657263323000000000000000000000000000000000000000000000,7288476
