ephemeral_smart_object_id,exists,smart_object_id,ephemeral_owner,__key_bytes,__last_updated_block_number
40363167960581243056639690629031062792122674375784405932795368129540663384400,t,107248231529685261355223303784210792586682736967790191173701347486468201164724,\xcde2aed81d89bb482ba13a105c265a5e0b827147,\x593cbe549b2e39aba231eb90df126ef07675e19293c895083e8602b32d9d9950,8559133
20863668904247818354985779198815866007964643625896236713000712106443532101428,t,71452433362355750058200452358304161267672179438961396241593675634676773362488,\x878c5d8a07f43bb7cfdb35fa41a0f028343ad01c,\x2e206b0a416323ed6d4c35457a4490fa78f2bad20b536504a6742623509f6734,8547102
28685858464689177096662861913168647681343173805358161505719021608691062236704,t,15627866984382175025535534326401067411706897235620004562363655745234352444365,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\x3f6b9eda8cbbb6536960d02aa5a9faa44cf4f70c40a98df9672905d0af4f6620,8537583
73280438788248712657694654393468713081090992399682251425181507421834402572124,t,115485163569382436315729107911891537110874621310665432728956908290533634012090,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\xa203422ec8d1dae90814f37821c1463abb10df0dec8223f2073d5834eb2ba75c,8537109
40482310078694970247692772200552599737670171543552581270464823427689088448526,t,1558599560737682317152501700195301751145508089017065218714765872264596087377,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\x59802cef611a4fc4bad002eb52e26890d140d9a7db95fdb41c13affd7156780e,8536446
82292801083310877678268816114479430647153483089394929181491388635720020359012,t,38223723203043973413349948333200152021181451459906049591347832297996480686422,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\xb5f013275ae9ee7969b8bf53ae9bd450fd9a66b50a7937fbd3538609dbc37764,8535793
5781791081693513598612988157576942618837887040274896785807224162085509272317,t,20395093433496556344585035173504981264259657689562904716194807984733018227722,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\x0cc860b66c0cf328eb60a072a86fa835ae3db78e51d8e770d8e423c2cbc012fd,8535406
20917903390085767159189659551401480016151278766879640830045435838020075947422,t,3114522283250836303403720466570165958077247666827993358151305019354412442612,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\x2e3f1d1f23d165d738dec5c98655ce5df3e5d39a3d25e7369a46aae58d90859e,8534539
42755359278653496104776197451030867503729645942580042000457654852847878039681,t,35699660006033236694392786577252726063500537767299597397091581317717901856958,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\x5e86ad001cc10aeecdaedb3934aa92d3d2e62f0e6d32515bdd787b1b6d706881,8534312
110371405728445920540284061952771662928758744554726635590434181018923337983858,t,65754567374098478309339310371998271252176346888108842142710473712438860584517,\xd50c6ae8efa40687adf39b1e31fa0275eb1f3b29,\xf4040079e13309c620ee51d19768a50c51d7eed77911b248d782c7e016772772,8533030
