smart_object_id,solar_system_id,x,y,z,__key_bytes,__last_updated_block_number
16905466054348280942896552011870816697932781413488152099811479606424273694081,30009260,57896044618658097711785492504343953926634992332820282019730879483795211216384,57896044618658097711785492504343953926634992332820282019729733685607666802048,57896044618658097711785492504343953926634992332820282019734895984907648119808,\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d81,8587935
100250025223726658738654931823487964951215097609770556669156456216720318157236,30001125,57896044618658097711785492504343953926634992332820282019723925945187862351872,57896044618658097711785492504343953926634992332820282019729407079221081514880,57896044618658097711785492504343953926634992332820282019732373405365372668928,\xdda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b4,8587884
47185083351408974992057482246376123995827845397238429773536951959478838903079,30013789,57896044618658097711785492504343953926634992332820282019706555384553103376384,57896044618658097711785492504343953926634992332820282019729537967455304711680,57896044618658097711785492504343953926634992332820282019725587878983319179776,\x6851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a0424127,8587884
68414870092408726995284918354210972589709809808521922219129213511111638660718,30001125,57896044618658097711785492504343953926634992332820282019723925945187862352896,57896044618658097711785492504343953926634992332820282019729407079221081514880,57896044618658097711785492504343953926634992332820282019732373405365372668928,\x974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16366e,8587880
60111412355051391629722680399853829566074812330991221091900175128757004958714,30014931,57896044618658097711785492504343953926634992332820282019706299176384473272320,57896044618658097711785492504343953926634992332820282019729903617110244440192,57896044618658097711785492504343953926634992332820282019724331423791512418304,\x84e5da8c56b16c3fa5315533a2e1f56414293cfc2ced01fd9ebeb9d46aac7bfa,8587831
9014807003794307867511837790144222423701028972641379525245302005148605988123,0,0,0,0,\x13ee332fdb7a901c9eda8d58986a8f023eae69e8f7dc7279a70123ef26d3bd1b,8587824
48159765063202884749947104111634117628066800990270452523480705912588728221006,30010754,57896044618658097711785492504343953926634992332820282019732489331872254371328,57896044618658097711785492504343953926634992332820282019729336526499077657024,57896044618658097711785492504343953926634992332820282019733365101587405507072,\x6a797607e184d877148f6a4403e46001f716cb63c5aa837afa39c6ea85ff3d4e,8587807
32595457243018869924483413113086319186328593303509995152324618867352691012229,0,0,0,0,\x48106000e71a43aef81761a87327af184bb4bfd6bd0f245807be860de4cbf285,8587775
80654274736561304069518121448844497485398111713595776949048815282549308121106,30011267,57896044618658097711785492504343953926634992332820282019728551555684077423392,57896044618658097711785492504343953926634992332820282019729027520406448389792,57896044618658097711785492504343953926634992332820282019735571761263535212544,\xb250b3a75224128cf91e0dcb1c2c51d03166dcfb7d452b0e54ad8f5be0f5e012,8587775
57508128605314872182649775098973667258465534567792046422285161662607861311758,0,0,0,0,\x7f2472835fa2641a5cb89a132f8ee3e05a31cd41df5e2d05f0a8de57cf1d690e,8587772
