entity_id,tag_id,has_tag,tag_index,value,__key_bytes,__last_updated_block_number
16905466054348280942896552011870816697932781413488152099811479606424273694081,\x70744f424a454354000000000000000000000000000000000000000000000000,t,0,\x,\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d8170744f424a454354000000000000000000000000000000000000000000000000,8587935
16905466054348280942896552011870816697932781413488152099811479606424273694081,\x65742560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f080,t,0,\x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000409fb88fb3d75c27fabc1bbd36dfed26b2eb01856e1cb9e659aedd8cc4bd17c18f000000000000000000000000000000000000000000000000000000000000000b494e4845524954414e4345000000000000000000000000000000000000000000,\x2560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f0802d8165742560279ab0b4eaa6006e3ebe4c8481082429d4c51e046b99bbc2b085f080,8587935
72243834582896676496617740918817843302285882468875437434358749899655361315215,\x7074454e544954595f434f554e54000000000000000000000000000000000000,t,1,\x0000000000000000000000000000000000000000000000000000000000000f54,\x9fb88fb3d75c27fabc1bbd36dfed26b2eb01856e1cb9e659aedd8cc4bd17c18f7074454e544954595f434f554e54000000000000000000000000000000000000,8587935
49093729854402668907490769436642374426657501376396290353655430473248350429876,\x7074454e544954595f434f554e54000000000000000000000000000000000000,t,1,\x0000000000000000000000000000000000000000000000000000000000006458,\x6c8a10ff5c82c9440a032e8ede6e63bd91678709c88b99e28dee0bbc02b862b47074454e544954595f434f554e54000000000000000000000000000000000000,8587884
96322367359074157518331156264550111939073242382391272236754625674917219843253,\x7074454e544954595f434f554e54000000000000000000000000000000000000,t,1,\x000000000000000000000000000000000000000000000000000000000000fbe9,\xd4f48726920d0f77b6240db02114696dec33bba48753b67625301322d9cabcb57074454e544954595f434f554e54000000000000000000000000000000000000,8587884
100250025223726658738654931823487964951215097609770556669156456216720318157236,\x6574dda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c8662892838,t,0,\x000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000406c8a10ff5c82c9440a032e8ede6e63bd91678709c88b99e28dee0bbc02b862b4000000000000000000000000000000000000000000000000000000000000000b494e4845524954414e4345000000000000000000000000000000000000000000,\xdda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b46574dda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c8662892838,8587884
100250025223726658738654931823487964951215097609770556669156456216720318157236,\x70744f424a454354000000000000000000000000000000000000000000000000,t,0,\x,\xdda380e5aa066dce782a1cda15d9b0377b910a989bd1e5e43c866289283851b470744f424a454354000000000000000000000000000000000000000000000000,8587884
47185083351408974992057482246376123995827845397238429773536951959478838903079,\x65746851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a042,t,0,\x00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000040d4f48726920d0f77b6240db02114696dec33bba48753b67625301322d9cabcb5000000000000000000000000000000000000000000000000000000000000000b494e4845524954414e4345000000000000000000000000000000000000000000,\x6851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a042412765746851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a042,8587884
47185083351408974992057482246376123995827845397238429773536951959478838903079,\x70744f424a454354000000000000000000000000000000000000000000000000,t,0,\x,\x6851cf8de0a071686f18a537324fa204e2832a06255e234514dcf807a042412770744f424a454354000000000000000000000000000000000000000000000000,8587884
68414870092408726995284918354210972589709809808521922219129213511111638660718,\x6574974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16,t,0,\x00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000040d4f48726920d0f77b6240db02114696dec33bba48753b67625301322d9cabcb5000000000000000000000000000000000000000000000000000000000000000b494e4845524954414e4345000000000000000000000000000000000000000000,\x974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16366e6574974171b973d2b0c8d647c098dec1bb6cdd1cc5cf3a4bc93e381369945b16,8587880
