smart_object_id,system_id,max_distance,__key_bytes,__last_updated_block_number
107156511554676907856683758319452628045482146499654992266694425989190537303580,\x0000000000000000000000000000000000000000000000000000000000000000,520340175991902420,\xece86fad72ba2bf7e2e95a46115f0d3148d034dad10e1ee7f96125e1d779d61c,8583314
74610903233674952376087832024144741068817388375624488633137051673524465251349,\x0000000000000000000000000000000000000000000000000000000000000000,520340175991902420,\xa4f44653d3b07901d051a53bfc27ce93a5993cc440b04fd64eb250002c2f3415,8582326
29811356633653325380431308766656607053379440392671457846184173070450011533375,\x73794b616c6970617475000000000000536d6172744761746553797374656d00,520340175991902420,\x41e8a141dbdc65deed25631100b44ad107fbfcaea211df8ef01e3098cbadf03f,8579963
35938927621381128453358125195249947815265006496722476162300230041629589349364,\x73794b616c6970617475000000000000536d6172744761746553797374656d00,520340175991902420,\x4f74b651d2c8565e73d5e47c1636ec9ff517227182d2c84e6eb03a2965a9a3f4,8579963
107347505839156480231532913062101096227507666462570723682886302675095790705940,\x73794556457c44617461636f726500004761746541636365737353797374656d,520340175991902420,\xed548901320e51922f7512410ae32dc53cd7a588ff2874b4adaf6bfb8c4e5d14,8578896
19795234134162441080341440675344393610932932677831963023045338007022225329895,\x0000000000000000000000000000000000000000000000000000000000000000,520340175991902420,\x2bc3b49a0c1dc4040cb082956771dd2d44f10f890dfd9244db658db0f3480ee7,8577881
5182812377826586825916527889692336912918685681899653783565879922169209557472,\x73794556457c44617461636f726500004761746541636365737353797374656d,520340175991902420,\x0b755e2b7f36fc2d65766d8a07ad30d5525aaa9307391bacfd39b08e05ce11e0,8560664
113616122747826243087293438194174243568610647509170201604982139982576788332343,\x73794556457c44617461636f726500004761746541636365737353797374656d,520340175991902420,\xfb307255228b871e1a58ff197d669bdebd69cc7cc53247a642997193884e5f37,8557612
100379112982268019683804772518385773579794679595734131820870817216925959139845,\x737953494c5645520000000000000000536d6172744761746553797374656d00,520340175991902420,\xddec9088be6723bb4a35a30d0a21312b7a2e3ca4b1e7ce901328e52229933205,8554110
50408230252166709356662713244708934486173940904653788728674074736668612581731,\x0000000000000000000000000000000000000000000000000000000000000000,520340175991902420,\x6f720c18f74eba69bf904e98ddfe75f06408057a764e089e864a13d3d0a15963,8549588
