module_address,arguments_hash,is_installed,__key_bytes,__last_updated_block_number
\x67bb9caabf203d68ca6a8763896b069d369b83c6,\xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,t,\x00000000000000000000000067bb9caabf203d68ca6a8763896b069d369b83c6c5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,7288425
\x026dafc3e63ff908ecf8c7cc04e57093de1af5f1,\x4cfb2ef473a9868d7b842772efa84a2085adfc302e1cc0c9a746877817b3dcd0,t,\x000000000000000000000000026dafc3e63ff908ecf8c7cc04e57093de1af5f14cfb2ef473a9868d7b842772efa84a2085adfc302e1cc0c9a746877817b3dcd0,7288425
\x2ff959c7d78a64356c28bcf5f6e3cd56f1463901,\xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,t,\x0000000000000000000000002ff959c7d78a64356c28bcf5f6e3cd56f1463901c5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,7288356
\xda4e062e8c69d39d9472945232a53f579904ac45,\xc5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,t,\x000000000000000000000000da4e062e8c69d39d9472945232a53f579904ac45c5d2460186f7233c927e7db2dcc703c0e500b653ca82273b7bfad8045d85a470,7288350
