smart_object_id,burn_start_time,burn_state,previous_cycle_elapsed_time,elapsed_time,__key_bytes,__last_updated_block_number
63944669549486636339099464761177169574329476846113846787377450464380910234396,1758302714,t,0,26,\x8d5f667ff75fc2bc02bc19f36c060aa661c1a4faa7191c1418387e489e42eb1c,8587934
71703929071599198917323681834654685180417401400018551664122699306186543164185,1758302730,t,0,10,\x9e86fc536886948eac0165b98c930019067ebdebfc009f4790d2699891cb6b19,8587934
9536248138131934778801990370078761527954650517030709350969872951994123966861,1758302712,t,0,28,\x1515533e7c01edbcb5af0985b43248d2fa14b3f74b8fe49f42c0099af8fe598d,8587934
105417368305949028617150078332087944220139994141585273205173098292113889026383,1758302716,t,0,24,\xe9101db518d9d2c1e16466fe8a28879f5c730fe0bcc40f27cebfc223a247e14f,8587934
64683180828065232501801418529081584918864711837825328917920710144529445580640,1758302712,t,0,28,\x8f016209bc1ff3b2829dbda17cc1ed5f8560d5c0a43f00ebe40f4d7f134a6f60,8587934
68362827600400376800582554538876391632394545957465543152401866056146359944424,1758302722,t,0,18,\x9723fd3e234cafd23772c4161ce43f5daf8f2e069a53504a19e11ca488f804e8,8587934
33474871630577761195723278618040949879742102040400990650005978321942440741745,1758302722,t,0,18,\x4a021b1d74c38fa2cfc49c42810c6d25e2750817c3179ceb97bf0b1e345a8b71,8587934
63064463146679207173738198452385969109218889198588508716848962286107145856172,1758302726,t,0,14,\x8b6d38a1ef43bbc0602e52b752907d185ab4bdab18955f8f3b063b1ab378e4ac,8587934
90191048647461916528898390712690675513216270020797353740660684036676574861490,1758302720,t,0,20,\xc7665313cd17a0be5f561edf80668bced8ecc1524bd1f837ba97eb010de558b2,8587934
32233930787463752014929394683781807888163046292652464586856576602611486620332,1758302716,t,0,24,\x4743c21f607e9b1b1bc5d7538ba21589a4180587310ba4a499e824ac2ad8faac,8587934
