gate_id,character_id,active,__key_bytes,__last_updated_block_number
113616122747826243087293438194174243568610647509170201604982139982576788332343,53872978298938130340162297219595777584781953976448998892362905534398936079818,t,\xfb307255228b871e1a58ff197d669bdebd69cc7cc53247a642997193884e5f37771b06709f6a1ca60a30a7c451aefdb2023cf89c9a3275971baab45103635dca,8557642
113616122747826243087293438194174243568610647509170201604982139982576788332343,78771372083496248560642575693140974952409866423537518151550563083272819977700,t,\xfb307255228b871e1a58ff197d669bdebd69cc7cc53247a642997193884e5f37ae2704424d4a72d1cb9b0427f297d3ce6151fc69f105285b02d201faf69e2de4,8557632
37705712069609120266036554784609171595967933571544040423934077262733800860180,86080690777089226743932849256709134248400607359930968863038951280973635646824,t,\x535cad3f3f161868d38f68930bbc836b923957ee333b69aaf542fbe083cb6a14be4ff1c4dba6c54343ce8988be16fac4ad72362c4344488a72f79ab7115bf568,8523394
37705712069609120266036554784609171595967933571544040423934077262733800860180,71991329848617484367929763151805308685262532722755971089231873476948423976872,t,\x535cad3f3f161868d38f68930bbc836b923957ee333b69aaf542fbe083cb6a149f29a612b4e307ec7350510d2c94f85c9bda614add2e5d198b8ad7d0f229a7a8,8523394
37705712069609120266036554784609171595967933571544040423934077262733800860180,42566358016988968789813890439212982601857719140965255902073488046199174261041,t,\x535cad3f3f161868d38f68930bbc836b923957ee333b69aaf542fbe083cb6a145e1bb471b095a073f2319c5c849aa403eab3145838ff445be33a3e62ba06e931,8523394
37705712069609120266036554784609171595967933571544040423934077262733800860180,75558062356943115645662784313484191884693134691655703732283453896261018699700,t,\x535cad3f3f161868d38f68930bbc836b923957ee333b69aaf542fbe083cb6a14a70c590848b25772ee5726c10b932a07d99316edadf5db3063b901daaef1c7b4,8523394
37705712069609120266036554784609171595967933571544040423934077262733800860180,43578132800553655954452061425974217666363972768206925112918197241137218022828,t,\x535cad3f3f161868d38f68930bbc836b923957ee333b69aaf542fbe083cb6a146058595e315fda460fbd63769c9184797b278a65417852f0d336959a02916dac,8523394
24652126435798611367544062858273105664423348232820681497204764044096016156416,75558062356943115645662784313484191884693134691655703732283453896261018699700,t,\x36809bee0829693f78209fd5ea4f848827dfe8298445ca960920fae7a9170700a70c590848b25772ee5726c10b932a07d99316edadf5db3063b901daaef1c7b4,8520639
24652126435798611367544062858273105664423348232820681497204764044096016156416,71991329848617484367929763151805308685262532722755971089231873476948423976872,t,\x36809bee0829693f78209fd5ea4f848827dfe8298445ca960920fae7a91707009f29a612b4e307ec7350510d2c94f85c9bda614add2e5d198b8ad7d0f229a7a8,8520639
24652126435798611367544062858273105664423348232820681497204764044096016156416,43578132800553655954452061425974217666363972768206925112918197241137218022828,t,\x36809bee0829693f78209fd5ea4f848827dfe8298445ca960920fae7a91707006058595e315fda460fbd63769c9184797b278a65417852f0d336959a02916dac,8520639
