source_gate_id,destination_gate_id,is_linked,__key_bytes,__last_updated_block_number
107156511554676907856683758319452628045482146499654992266694425989190537303580,19795234134162441080341440675344393610932932677831963023045338007022225329895,f,\xece86fad72ba2bf7e2e95a46115f0d3148d034dad10e1ee7f96125e1d779d61c,8585935
19795234134162441080341440675344393610932932677831963023045338007022225329895,107156511554676907856683758319452628045482146499654992266694425989190537303580,f,\x2bc3b49a0c1dc4040cb082956771dd2d44f10f890dfd9244db658db0f3480ee7,8585935
82277497145943611374646768063641380321881239100084710540468883386304774385231,74610903233674952376087832024144741068817388375624488633137051673524465251349,t,\xb5e769c0c4ddb5a6d458c6b3868394d902a7013f789327d09392426931d5ae4f,8584151
74610903233674952376087832024144741068817388375624488633137051673524465251349,82277497145943611374646768063641380321881239100084710540468883386304774385231,t,\xa4f44653d3b07901d051a53bfc27ce93a5993cc440b04fd64eb250002c2f3415,8584151
107347505839156480231532913062101096227507666462570723682886302675095790705940,5182812377826586825916527889692336912918685681899653783565879922169209557472,t,\xed548901320e51922f7512410ae32dc53cd7a588ff2874b4adaf6bfb8c4e5d14,8578879
5182812377826586825916527889692336912918685681899653783565879922169209557472,107347505839156480231532913062101096227507666462570723682886302675095790705940,t,\x0b755e2b7f36fc2d65766d8a07ad30d5525aaa9307391bacfd39b08e05ce11e0,8578879
29811356633653325380431308766656607053379440392671457846184173070450011533375,35938927621381128453358125195249947815265006496722476162300230041629589349364,t,\x41e8a141dbdc65deed25631100b44ad107fbfcaea211df8ef01e3098cbadf03f,8576881
35938927621381128453358125195249947815265006496722476162300230041629589349364,29811356633653325380431308766656607053379440392671457846184173070450011533375,t,\x4f74b651d2c8565e73d5e47c1636ec9ff517227182d2c84e6eb03a2965a9a3f4,8576881
22165956984120289463205745204202828742756819810596707291152671596744324164759,100887935457708124983774987569169385511368344809354459447392785893295061979338,t,\x31017cafd04fcfc6fcfe4a5d8a596b2411fe60fae8c9bf1aad66acc1f8002c97,8571185
100887935457708124983774987569169385511368344809354459447392785893295061979338,22165956984120289463205745204202828742756819810596707291152671596744324164759,t,\xdf0c8c434c8275d0acacb1a5340d898fa865dedd47cae21b489002de8107d0ca,8571185
