system_id,class_id,__key_bytes,__last_updated_block_number
\x737965766566726f6e74696572000000536d6172744368617261637465725379,41066350398808094615589732633415263309667419591260759830869956832212679921066,\x737965766566726f6e74696572000000536d6172744368617261637465725379,7288471
\x737965766566726f6e746965720000004e6574776f726b4e6f64655379737465,32968617144585093676128361145540324699066145928867662492657667287463338194975,\x737965766566726f6e746965720000004e6574776f726b4e6f64655379737465,7288471
